,KOD,NAME
325,020329,СВИНИНА МОРОЖЕНАЯ ПРОЧАЯ
349,020410,ТУШИ И ПОЛУТУШИ ЯГНЯТ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
352,020421,ТУШИ И ПОЛУТУШИ БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
355,020422,"ПРОЧИЕ ОТРУБА БАРАНЬИ ОХЛАЖДЕННЫЕ ИЛИ СВЕЖИЕ, НЕОБВАЛЕННЫЕ"
364,020423,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
367,020430,"ТУШИ И ПОЛУТУШИ ЯГНЯТ, МОРОЖЕНЫЕ"
370,020441,"ТУШИ И ПОЛУТУШИ БАРАНИНЫ, МОРОЖЕНЫЕ"
373,020442,"ПРОЧИЕ ОТРУБА БАРАНЬИ НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
382,020443,"ПРОЧИЕ ОТРУБА БАРАНЬИ МОРОЖЕНЫЕ, ОБВАЛЕННЫЕ"
387,020450,КОЗЛЯТИНА
413,020500,"МЯСО ЛОШАДЕЙ (КОНИНА), ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
419,020610,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
426,020621,"ЯЗЫКИ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
429,020622,ПЕЧЕНЬ КРУПНОГО РОГАТОГО СКОТА
433,020629,"ПРОЧИЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
440,020630,"СВИНЕЙ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
446,020641,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ СВИНЕЙ, ЗАМОРОЖЕННЫЕ ПЕЧЕНЬ"
450,020649,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ"
455,020680,ПРОЧИЕ СУБПРОДУКТЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
462,020690,ПРОЧИЕ СУБПРОДУКТЫ МОРОЖЕНЫЕ
470,020711,"ТУШКИ ДОМАШНИХ КУР НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
480,020712,"ТУШКИ ДОМАШНИХ КУР НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, МОРОЖЕНЫЕ"
487,020713,"ЧАСТИ ТУШЕК И СУБПРОДУКТЫ ДОМАШНИХ КУР, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
515,020714,"ЧАСТИ ТУШЕК И СУБПРОДУКТЫ ДОМАШНИХ КУР, МОРОЖЕНЫЕ"
