,KOD,NAME
4,0101210000,ШТ-ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
7,0101291000,"ШТ-ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ, ПРОЧИЕ:"
9,0101299000,ШТ-ПРОЧИЕ ЛОШАДИ ЖИВЫЕ: ПРОЧИЕ
12,0101300000,"ШТ-ОСЛЫ, ЖИВЫЕ"
15,0101900000,ШТ-ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
19,0102211000,"ШТ-ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: НЕТЕЛИ"
21,0102213000,"ШТ-ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: КОРОВЫ"
23,0102219000,"ШТ-КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: ПРОЧИЕ"
26,0102290500,ШТ-КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПОДРОДА BIBOS ИЛИ ПОДРОДА POEPHAGUS
28,0102291000,ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: МАССОЙ НЕ БОЛЕЕ 80 КГ
30,0102292100,"ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: УБОЙНЫЕ"
