,KOD,NAME
3,01012100,ШТ-ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
6,01012910,"ШТ-ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ, ПРОЧИЕ:"
8,01012990,ШТ-ПРОЧИЕ ЛОШАДИ ЖИВЫЕ: ПРОЧИЕ
11,01013000,"ШТ-ОСЛЫ, ЖИВЫЕ"
14,01019000,ШТ-ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
18,01022110,"ШТ-ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: НЕТЕЛИ"
20,01022130,"ШТ-ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: КОРОВЫ"
22,01022190,"ШТ-КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: ПРОЧИЕ"
25,01022905,ШТ-КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПОДРОДА BIBOS ИЛИ ПОДРОДА POEPHAGUS
27,01022910,ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: МАССОЙ НЕ БОЛЕЕ 80 КГ
29,01022921,"ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: УБОЙНЫЕ"
31,01022929,"ШТ-ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: ПРОЧИЕ"
